lat,lon,wind_value,year,month
59.75,125.75,14,2021,апрель
59.5,45,8,2021,апрель
59.5,45.25,211.8,2021,апрель
59.5,45.5,201.2,2021,апрель
59.5,45.75,189,2021,апрель
59.5,46,174.4,2021,апрель
59.5,46.25,158.2,2021,апрель
59.5,46.5,131.4,2021,апрель
59.5,46.75,112,2021,апрель
59.5,47,115.6,2021,апрель
59.5,47.25,117.8,2021,апрель
59.5,47.5,55.8,2021,апрель
59.5,47.75,13,2021,апрель
59.5,48,9.2,2021,апрель
59.5,48.25,5.8,2021,апрель
59.5,48.5,5.6,2021,апрель
59.5,48.75,8,2021,апрель
59.5,49,8.2,2021,апрель
59.5,49.25,6.8,2021,апрель
59.5,49.5,5.6,2021,апрель
59.5,49.75,4,2021,апрель
59.5,50,2.6,2021,апрель
59.5,50.25,2,2021,апрель
59.5,50.5,2,2021,апрель
59.5,50.75,3.6,2021,апрель
59.5,51,5.6,2021,апрель
59.5,51.25,3.6,2021,апрель
59.5,51.5,2.4,2021,апрель
59.5,51.75,1.8,2021,апрель
59.5,52,2,2021,апрель
59.5,52.25,1.8,2021,апрель
59.5,52.5,1.6,2021,апрель
59.5,52.75,1.2,2021,апрель
59.5,53,1.2,2021,апрель
59.5,53.25,1.2,2021,апрель
59.5,53.5,1.2,2021,апрель
59.5,53.75,1.6,2021,апрель
59.5,54,1.8,2021,апрель
59.5,54.25,2,2021,апрель
59.5,54.5,3.8,2021,апрель
59.5,54.75,4.4,2021,апрель
59.5,55,4.2,2021,апрель
59.5,55.25,4.4,2021,апрель
59.5,55.5,3.6,2021,апрель
59.5,55.75,3.6,2021,апрель
59.5,56,3.6,2021,апрель
59.5,56.25,5.8,2021,апрель
59.5,56.5,6.4,2021,апрель
59.5,56.75,7.4,2021,апрель
59.5,57,8.2,2021,апрель
59.5,57.25,10.2,2021,апрель
59.5,57.5,10.6,2021,апрель
59.5,57.75,10.2,2021,апрель
59.5,58,11,2021,апрель
59.5,58.25,12.8,2021,апрель
59.5,58.5,12.4,2021,апрель
59.5,58.75,10.4,2021,апрель
59.5,59,11.2,2021,апрель
59.5,59.25,10.8,2021,апрель
59.5,59.5,13.8,2021,апрель
59.5,59.75,12.6,2021,апрель
59.5,60,13,2021,апрель
59.5,60.25,12.6,2021,апрель
59.5,60.5,14.2,2021,апрель
59.5,60.75,13.4,2021,апрель
59.5,61,13.6,2021,апрель
59.5,61.25,12,2021,апрель
59.5,61.5,10.8,2021,апрель
59.5,61.75,10.6,2021,апрель
59.5,62,10.8,2021,апрель
59.5,62.25,11.8,2021,апрель
59.5,62.5,11.8,2021,апрель
59.5,62.75,11.4,2021,апрель
59.5,63,8.6,2021,апрель
59.5,63.25,7.8,2021,апрель
59.5,63.5,7,2021,апрель
59.5,63.75,6.2,2021,апрель
59.5,64,6.2,2021,апрель
59.5,64.25,7,2021,апрель
59.5,64.5,7.8,2021,апрель
59.5,64.75,10.4,2021,апрель
59.5,65,9.8,2021,апрель
59.5,65.25,8.2,2021,апрель
59.5,65.5,8,2021,апрель
59.5,65.75,8,2021,апрель
59.5,66,8.6,2021,апрель
59.5,66.25,9,2021,апрель
59.5,66.5,10.2,2021,апрель
59.5,66.75,10,2021,апрель
59.5,67,10.2,2021,апрель
59.5,67.25,11,2021,апрель
